category_id,course_id
5,ITSC 1212
5,ITSC 1213
5,ITSC 2181
5,ITSC 2214
5,ITSC 3146
5,ITSC 3155
5,ITSC 3688
6,MATH 1241
6,MATH 1242
6,MATH 2164
6,STAT 2122
7,ITCS 4232
7,ITCS 4238
7,ITIS 4390
7,ITIS 4246
7,ITSC 4155
7,ITSC 4681
7,ITSC 4682
7,ITSC 4750
7,ITSC 4850
7,ITSC 4851
7,ITSC 4990
7,ITSC 4991
8,ITCS 3153
8,ITCS 3156
10,ITSC 2175
10,MATH 2165
11,ITSC 1600
11,ITSC 2600
12,ITCS 3153
12,ITCS 3156
12,ITCS 3120
12,ITCS 4101
12,ITCS 4114
12,ITCS 4123
12,ITCS 4124
12,ITCS 4150
12,ITCS 4151
12,ITCS 4152
12,ITCS 4230
12,ITCS 4231
12,ITCS 4236
13,ITCS 3000
13,ITIS 3000
13,ITCS 3000
13,ITIS 3000
