Course ID,Required Course
MATH 1241L,MATH 1241
AERO 1100,AERO 1101
AERO 1100,AERO 1102
AERO 1100,AERO 2101
AERO 1100,AERO 2102
AERO 1100,AERO 3101
AERO 1100,AERO 3102
AERO 1100,AERO 4101
AERO 1100,AERO 4102
AERO 1101,AERO 1100
AERO 1102,AERO 1100
AERO 2101,AERO 1100
AERO 2102,AERO 1100
AERO 3101,AERO 1100
AERO 3102,AERO 1100
AERO 4101,AERO 1100
AERO 4102,AERO 1100
ANTH 2141,ANTH 2141L
ANTH 2141L,ANTH 2141
ARCH 1602,ARCH 1102
ARCH 2101,ARCH 4301
ARCH 2102,ARCH 4302
COAA 3350,MUSC 1237
BIOL 2120L,BIOL 2120
BIOL 2130,BIOL 2130L
BIOL 2130L,BIOL 2130
BIOL 2273,BIOL 2273L
BIOL 2273L,BIOL 2273
BIOL 2274,BIOL 2274L
BIOL 2274L,BIOL 2274
BIOL 4242L,BIOL 4242
CHFD 3118,CHFD 3416
CHFD 3416,CHFD 3118
ENVE 3201,CEGR 4242
CMET 2105,CMET 2221
CMET 2105,CMET 2105L
ETCE 1211,ETCE 1211L
ETCE 1211L,ETCE 1211
ETCE 2112,ETCE 2112L
ETCE 2112L,ETCE 2112
CMET 3150,CMET 3224
DTSC 1301,DTSC 1302
DTSC 1301,STAT 1220
DTSC 1301,STAT 1221
DTSC 1301,STAT 1222
DTSC 1302,DTSC 1301
DTSC 1302,STAT 1220
DTSC 1302,STAT 1221
DTSC 1302,STAT 1222
DTSC 2301,DTSC 2302
DTSC 2302,DTSC 2301
DTSC 3601,DTSC 3602
DTSC 3602,DTSC 3601
DTSC 4301,DTSC 4302
DTSC 4302,DTSC 4301
EDUC 4291,READ 3255
EDUC 4291,MDSK 4251
EDUC 4291,MDSK 4253
EDUC 4291,ENGL 4254
EDUC 4291,MAED 4252
ELET 1231,ELET 1231L
ELET 1231L,ELET 1231
ELET 2113L,ELET 2112
ELET 2221,ELET 2221L
ELET 2221L,ELET 2221
ELET 2231,ELET 1102
ELET 2241L,ELET 2241
ENGR 1202,ENGR 1201
ENGL 4254,FLED 4105
EXER 3286L,EXER 3286
EXER 3287,EXER 3286
EXER 3289,EXER 3288
EXER 3292,EXER 3291
EXER 3295,EXER 3290
FARS 1201,FARS 1201L
FARS 1201L,FARS 1201
FARS 1202,FARS 1202L
FARS 1202L,FARS 1202
UWRT 1100,WRDS 1104
FLED 4200,FLED 4105
HONR 1502,LBST 1105
MATH 1103L,MATH 1103
MAED 4252,FLED 4105
MAED 4252,MDSK 4102
MEGR 2156,MEGR 2180
MEGR 2180,MEGR 2156
MEGR 3171,MEGR 3171L
MEGR 3171L,MEGR 3171
ETME 2100,ETME 2100L
ETME 2100L,ETME 2100
ETME 3100,ETME 3100L
ETME 3100L,ETME 3100
MDSK 4104,ENGL 4254
MDSK 4104,FLED 4105
MDSK 4150,MDLG 4440
MDSK 4150,SECD 4440
MDSK 4150,SECD 4452
MDSK 4150,SECD 4453
MDSK 4150,SECD 4454
MDSK 4251,FLED 4105
MDSK 4253,FLED 4105
MSCI 1101,MSCI 1101L
MSCI 1101L,MSCI 1101
MSCI 1102,MSCI 1102L
MSCI 1102L,MSCI 1102
MSCI 2101,MSCI 2101L
MSCI 2101L,MSCI 2101
MSCI 2102,MSCI 2102L
MSCI 2102L,MSCI 2102
MSCI 3101,MSCI 3101L
MSCI 3101L,MSCI 3101
MSCI 3102,MSCI 3102L
MSCI 3102L,MSCI 3102
MSCI 4101,MSCI 4101L
MSCI 4101L,MSCI 4101
MSCI 4102,MSCI 4102L
MSCI 4102L,MSCI 4102
MUSC 1230,MUSC 1230L
MUSC 1230,MUSC 1233
MUSC 1230L,MUSC 1230
MUSC 1230L,MUSC 1233
MUSC 1231,MUSC 1231L
MUSC 1231,MUSC 1234
MUSC 1231L,MUSC 1231
MUSC 1231L,MUSC 1234
MUSC 1233,MUSC 1230
MUSC 1233,MUSC 1230L
MUSC 1234,MUSC 1231
MUSC 1234,MUSC 1231L
MUSC 2150,MUPF 1248
MUSC 2230,MUSC 2230L
MUSC 2230L,MUSC 2230
MUSC 2231,MUSC 2231L
MUSC 2231L,MUSC 2231
MUSC 2233,MUSC 2230
MUSC 2233,MUSC 2230L
MUSC 2234,MUSC 2231
MUSC 2234,MUSC 2231L
MUSC 3150,MUPF 3248
MUSC 4149,MUPF 3249
MUED 4190,MUED 4190L
MUED 4190L,MUED 4190
MUED 4192,MUED 4192L
MUED 4192L,MUED 4192
MUED 4194,MUED 4194L
MUED 4194L,MUED 4194
MUPF 1111L,MUPF 1111
MUPF 1112L,MUPF 1112
MUPF 1120L,MUPF 1120
MUPF 1240,MUSC 1300
MUPF 1241,MUSC 1300
MUPF 1242,MUSC 1300
MUPF 1243,MUSC 1300
MUPF 1244,MUSC 1300
MUPF 1245,MUSC 1300
MUPF 1246,MUSC 1300
MUPF 1247,MUSC 1300
MUPF 1248,MUSC 1300
MUPF 1249,MUSC 1300
MUPF 1250,MUSC 1300
MUPF 1251,MUSC 1300
MUPF 1252,MUSC 1300
MUPF 1253,MUSC 1300
MUPF 1254,MUSC 1300
MUPF 1255,MUSC 1300
MUPF 1256,MUSC 1300
MUPF 1257,MUSC 1300
MUPF 1258,MUSC 1300
MUPF 1259,MUSC 1300
MUPF 1270,COAA 3350
