Name,Subject,Number,Credits,Description,Restrictions
CHNS 3203 - Advanced Chinese Grammar and Conversation,CHNS,3203,,"CHNS 3203 is a required course for the Chinese Minor. It is designed for students who have successfully completed Chinese Grammar and Conversation I  at UNC Charlotte, or have acquired knowledge and skills equivalent to successful completion of CHNS 3201 elsewhere. This course aims to improve students’ levels of communicative competence in listening, speaking, reading, writing and cultural acquisition. Students will continue to develop and expand their understanding and use of the Chinese language, especially more specialized vocabulary, and complex sentence structures. In addition to improving the students’ fluency in the vernacular style, the course also begins to introduce students to some basic “Literary style” expressions, including vocabulary, idiomatic expressions and stylistics. The course is conducted in Chinese.",
ENGL 3100 - Approaches to Literature and Culture,ENGL,3100,,"Introductory study and application of major critical approaches to literature, such as formalism, race studies, new historicism, gender and sexuality studies, postcolonialism, ecocriticism, class studies, and poststructuralism, with an emphasis on diverse perspectives and on writing about literature.",
ETFS 4132 - Fireground Hydraulics,ETFS,4132,,"Exploration of the application of force, weight, velocity and pressure as it relates to the movement of water on the fire ground.  Fire loads and the calculation of needed quantities of water are reviewed.  Friction loss and flows are calculated for hand hose lines, supply line and master streams.  Problems solved will include nozzle reaction forces, theoretical limits of fire pumps, unusual and complex hose layouts including but not limited to wyes, siamese and supply lines.",
ETFS 4901 - Fire Safety Research & Data Analysis,ETFS,4901,,"Examines the basic principles of research and methodology for analyzing current fire-related research. The course also provides a framework for conducting and evaluating independent research in the following areas: fire dynamics, fire test standards and codes, fire safety, fire modeling, structural fire safety, life-safety, firefighter health and safety, automatic detection and suppression, transportation fire hazards, risk analysis and loss control, fire service applied research and new trends in fire-related research. The course also focuses on data visualization and how to format data into useful information.",
HAHS 1511 - Local Social Science: Issues of Health and Quality of Life,HAHS,1511,,"All Local Theme courses explore the central, unifying question of what it means to be a member of the “local” community in which we live. Through the study of the experiences of different peoples, cultures, and communities in our city, our region, or our nation students will be able to better understand themselves in the context of the complex and diverse society in which we live. This local theme course explores individual and social aspects of health. Analysis of individual health and illness behavior and theory; the social, political, and economic contexts of health and illness; and the broad cultural, ethical, and religious understandings of health and illness. May not be taken for credit and for a grade if credit has been received for LBST 2214 .",
ITLN 1502 - Global Arts/Humanities: Italian Culture in the World,ITLN,1502,,"This Global Theme course uses the methods and insights of the social sciences to explore the central question of what it means to be a citizen of the world. Through the study of one or more different peoples, societies or cultures across the globe, students will be able to better understand themselves as part of a complex, interconnected world. Students are introduced to critical studies of culture through a broad engagement with the influence and presence of Italian culture throughout the world. Course materials may draw widely from film, media, the arts, literature, fashion, cuisine, and music. Taught in English.",
MATH 1241L - The Academic Success Experience,MATH,1241L,,"The Academic Success Experience is a corequisite course specifically designed to provide essential support and enhance the achievement of students who are enrolled in MATH 1241 and part of the National Science Foundation funded MPAACT  project. The enrollment for the corequisite course is by permission of the MPAACT coordinator for MATH 1241.  This empowering course aims to foster their academic growth, strengthen their mathematical skills, critical thinking, and problem-solving abilities through a tailored and inclusive approach that recognizes the potential, aspirations, and determination of these students, The Academic Success Experience incorporates personalized mentoring and peer support networks. By completing this course, students will develop the competence and a determined mindset necessary to excel in MATH 1241, establishing a solid foundation in calculus and its practical applications for mathematics, science, and engineering disciplines. This comprehensive preparation will equip them with the necessary tools for a successful degree completion in their chosen STEM program, empowering them to circumvent challenges and contribute to the diverse landscape of scientific fields.",Permission of the MPAACT coordinator for MATH 1241
ACCT 2121 - Principles of Accounting I,ACCT,2121,,"Fundamental accounting principles, with emphasis on the use of financial accounting data and analysis of financial statements.","Sophomore, Junior, or Senior standing."
ACCT 2122 - Principles of Accounting II,ACCT,2122,,An introduction to managerial accounting with an emphasis on using accounting information to make decisions.,"Sophomore, Junior, or Senior standing."
ACCT 3300 - Professional Development for Accountants,ACCT,3300,,"Focuses on the transition from student to the Accounting Professional.  Students explore various career tracks within public accounting and private industry, along with considerations around pursuing the CPA and other certifications.  Students learn how to navigate through the pipeline to employment, including enhancing their interviewing and networking skills, as well as finding and securing internship opportunities.  Professional workplace conduct is taught along with the importance of strong ethical behavior.",Accounting or Pre-Accounting majors.
ACCT 3311 - Intermediate Financial Accounting I,ACCT,3311,,Analysis of the financial reporting requirements of corporations with emphasis on the conceptual framework and accounting for assets.,College of Business major
ACCT 3312 - Intermediate Financial Accounting II,ACCT,3312,,A continuation of ACCT 3311 with emphasis on financial reporting for liabilities and stockholders’ equity. Also a number of special topics including the accounting for investments and the statement of cash flows.,College of Business major.
ACCT 3323 - Intermediate Accounting I,ACCT,3323,,"An introduction to the key concepts, processes, and techniques that support the financial reporting process.  Topics include: the accounting cycle, the conceptual framework, primary financial statements and disclosure, and the use of present value techniques in accounting measurement.",Belk College of Business major
ACCT 3324 - Intermediate Accounting II,ACCT,3324,,A continuation of ACCT 3323 with emphasis on financial reporting of key balance sheet accounts along with their income statements effects.,Belk College of Business major
ACCT 3325 - Intermediate Accounting III,ACCT,3325,,"A continuation of ACCT 3323 and ACCT 3324 with emphasis on financial reporting issues related to special topics, including the accounting for income taxes, pensions, investments, and leases.",Belk College of Business major
ACCT 3330 - Managerial Accounting and the Decision Process,ACCT,3330,,"The concepts associated with internal reporting and business management using accounting data.  Techniques in using relevant data for planning, controlling, and decision making are taught.  Other topics include: understanding cost behavior, how to accurately assign or allocate costs, developing strong budgeting practices, and learning about responsibility accounting.  Excel and Data Analytics are used throughout the course, highlighting the importance of these in the professional world.",College of Business major
ACCT 3340 - Accounting Information Systems,ACCT,3340,,"An introduction to accounting systems, with particular emphasis on business processes, internal controls, and current accounting technology including data analytics.",College of Business major
ACCT 3350 - Introduction to Auditing,ACCT,3350,,"Introduction to auditing and its role in the capital markets. Students will be introduced to the evaluation of risk, controls, designing and executing tests, and assessing audit evidence. Special attention is given to information technology, data analytics, and comparisons of internal and external auditing.",Accounting major
ACCT 3380 - Fraud Examination,ACCT,3380,,Examines the fraud problem faced by businesses and focuses on fraud prevention and detection. Involves the study of the different types of fraud as well as an examination of the various elements of a fraud investigation.,
ACCT 3400 - Accounting Internship,ACCT,3400,,"Provides a meaningful work experience in the field of accounting.  Requires a minimum of 150 hours of supervised employment, 50 hours of work per credit hour.  Student is responsible for securing internship and completing internship application and approval process prior to registering for the course.  Internship must be approved by instructor.  Application process and course registration must be completed prior to beginning internship.  All proposals are subject to departmental approval.  Students may not earn internship credit for work at a current employer.  Some students work full-time during the period of the internship and should plan schedules for Junior and Senior years accordingly.  May be used to meet general elective requirements, up to a maximum of three credit hours.",Junior or Senior standing; Accounting major in good standing; and permission of department.
ACCT 3500 - Accounting Cooperative Education Experience,ACCT,3500,,"Enrollment is required for students participating in a cooperative education position during each semester they are working in a position.  Participating students pay a course registration fee for transcript notation and receive full-time student status.  Assignments must be arranged and approved in advance.  The Cooperative Education Program is only open to undergraduate students; graduate level students are encouraged to contact their academic departments to inquire about academic or industrial internship options for credit.  For information, contact the University Career Center.","Accounting major with department approval, in conjunction with the University Career Center."
ACCT 3900 - Current Developments in Accounting,ACCT,3900,,"Topics include: internal and external auditing, governmental accounting, income taxes, managerial accounting and accounting theory. A research project is required.",Permission of department.
ACCT 4220 - Income Tax,ACCT,4220,,An introduction to the Federal income tax system with emphasis on concepts and procedures applicable to all types of entities.,Accounting major
AERO 1100 - Leadership Laboratory,AERO,1100,,"Provides the opportunity to demonstrate fundamental management skills through execution of Air Force customs and courtesies, health and physical fitness, drill, and ceremonies.  Students demonstrate command abilities by utilizing effective communication, physical fitness, and knowledge of military customs and courtesies.",Permission of department
AERO 1101 - Foundations of the Air Force I,AERO,1101,,"Survey course which focuses on the structure and missions of Air Force organizations, officership, and professionalism.  Provides an overview of Air Force and defense topics and introduces communication skills training.",
AERO 1102 - Foundations of the Air Force II,AERO,1102,,"Survey course which further explores the structure and missions of Air Force organizations, officership, and professionalism.  Students participate in comprehensive discussions on Air Force and defense topics while building upon learned communication skills.",
AERO 2101 - Evolution of Aerospace Studies I,AERO,2101,,"The beginnings of manned flight and the development of aerospace power in the United States, including the employment of air power in WWI, WWII, Korea, Vietnam, and the Gulf War.  The peaceful employment of U.S. air power in civic actions, space exploration support, and scientific missions are also discussed.",
AERO 2102 - Evolution of Aerospace Studies II,AERO,2102,,"Further expounds on the origins of manned flight and the development of aerospace power in the United States to include the employment of air power in WWI, WWII, Korea, Vietnam, and the Gulf War.  Discussions on peaceful employment of U.S. air power in civic actions, space exploration support, and scientific missions are facilitated.",
AERO 3101 - Leadership Studies I,AERO,3101,,"Study of the anatomy and importance of quality leadership and management, the role of discipline in leadership situations, and the variables that affect leadership.  Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts.  Students deal with actual problems and complete projects associated with planning and managing an Air Force training environment.",
AERO 3102 - Leadership Studies II,AERO,3102,,"Advanced studies on the anatomy and importance of quality leadership and management, the role of discipline in leadership situations, and the variables that affect leadership.  Additional case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts.  Students analyze real-world problems and complete projects associated with planning and managing an Air Force training environment.",
