Course ID,Required Course
ACCT 3300,ACCT 3311
ACCT 3300,ACCT 3323
ACCT 3323,INFO 2130
AFRS 3290,AFRS 1100
AFRS 3290,AFRS 4100
ANTH 4020,ANTH 1501
ARTA 4901,ARTT 4291
ARTC 2171,ARTB 1201
ARTC 2171,ARTB 1202
ARTC 2171,ARTB 1203
ARTC 2171,ARTB 1204
ARTC 2171,ARTB 1206
ARTC 2171,ARTG 2180
ARTC 2172,ARTB 1201
ARTC 2172,ARTB 1202
ARTC 2172,ARTB 1203
ARTC 2172,ARTB 1204
ARTC 2172,ARTB 1206
ARTC 2172,ARTG 2180
ARTD 2139,ARTB 1201
ARTD 2139,ARTB 1202
ARTD 2139,ARTB 1203
ARTD 2139,ARTB 1204
ARTD 2139,ARTB 1206
ARTD 2139,ARTG 2180
ARTF 2151,ARTB 1201
ARTF 2151,ARTB 1202
ARTF 2151,ARTB 1203
ARTF 2151,ARTB 1204
ARTF 2151,ARTB 1206
ARTF 2151,ARTG 2180
ARTL 2186,ARTB 1201
ARTL 2186,ARTB 1202
ARTL 2186,ARTB 1203
ARTL 2186,ARTB 1204
ARTL 2186,ARTB 1206
ARTL 2186,ARTG 2180
ARTL 3086,ARTB 1206
ARTL 3086,ARTG 2180
ARTL 4981,ARTL 3186
ARTL 4981,ARTL 3286
ARTL 4981,ARTA 4600
ARTM 2105,ARTB 1201
ARTM 2105,ARTB 1202
ARTM 2105,ARTB 1203
ARTM 2105,ARTB 1204
ARTM 2105,ARTB 1206
ARTM 2105,ARTG 2180
ARTM 3102,ARTM 2105
ARTP 2131,ARTB 1201
ARTP 2131,ARTB 1202
ARTP 2131,ARTB 1203
ARTP 2131,ARTB 1204
ARTP 2131,ARTB 1206
ARTP 2131,ARTG 2180
ARTP 3132,ARTA 3201
ARTR 2161,ARTB 1201
ARTR 2161,ARTB 1202
ARTR 2161,ARTB 1203
ARTR 2161,ARTB 1204
ARTR 2161,ARTB 1206
ARTR 2161,ARTG 2180
ARTR 2162,ARTB 1201
ARTR 2162,ARTB 1202
ARTR 2162,ARTB 1203
ARTR 2162,ARTB 1204
ARTR 2162,ARTB 1206
ARTR 2162,ARTG 2180
ARTT 2191,ARTB 1201
ARTT 2191,ARTB 1202
ARTT 2191,ARTB 1203
ARTT 2191,ARTB 1204
ARTT 2191,ARTB 1206
ARTT 2191,ARTG 2180
ARTT 4291,ARTT 3190
ARTZ 2104,ARTB 1201
ARTZ 2104,ARTB 1202
ARTZ 2104,ARTB 1203
ARTZ 2104,ARTB 1204
ARTZ 2104,ARTB 1206
ARTZ 2104,ARTG 2180
ARTZ 2141,ARTB 1201
ARTZ 2141,ARTB 1202
ARTZ 2141,ARTB 1203
ARTZ 2141,ARTB 1204
ARTZ 2141,ARTB 1206
ARTZ 2141,ARTG 2180
ARTZ 2306,ARTB 1201
ARTZ 2306,ARTB 1202
ARTZ 2306,ARTB 1203
ARTZ 2306,ARTB 1204
ARTZ 2306,ARTB 1206
ARTZ 2306,ARTG 2180
BINF 3201,BINF 1101
BIOL 1110L,BIOL 1110
BIOL 2259L,BIOL 2259
BIOL 3111L,BIOL 3111
BIOL 3144L,BIOL 3144
BIOL 3166L,BIOL 3166
BIOL 3202L,BIOL 3202
BIOL 3222L,BIOL 3222
BIOL 3236L,BIOL 3236
BIOL 3273L,BIOL 3273
BIOL 4244L,BIOL 4244
BIOL 4250L,BIOL 4250
BIOL 4256L,BIOL 4256
BIOL 4257L,BIOL 4257
BIOL 4272,BIOL 3111
BIOL 4274,BIOL 3111
BIOL 4279L,BIOL 4279
CHEM 1111L,CHEM 1111
CHEM 1203L,CHEM 1203
CHEM 1204L,CHEM 1204
CHEM 1251L,CHEM 1251
CHEM 1252L,CHEM 1252
CHEM 2131L,CHEM 2131
CHEM 2131L,CHEM 2130
CHEM 2132L,CHEM 2132
CHEM 2136L,CHEM 2132
CHEM 3141,MATH 2241
CHEM 3141,MATH 2242
CHEM 3141,MATH 2164
CHEM 3141,MATH 2171
CHEM 3141,STAT 3128
CHEM 3141L,CHEM 3141
CHEM 3142,MATH 2241
CHEM 3142,MATH 2242
CHEM 3142,MATH 2164
CHEM 3142,MATH 2171
CHEM 3142,STAT 3128
CHEM 3142L,CHEM 3141
CHEM 3142L,CHEM 3142
CHEM 4121,CHEM 3141
CHEM 4165L,CHEM 4165
CHEM 4200,CHEM 3141
CHFD 2412,CHFD 2111
CHFD 3412,CHFD 3113
CEGR 3153,CEGR 3161
CEGR 3155,CEGR 3141
CEGR 3255,MEGR 2144
CEGR 3258,CEGR 3278
CEGR 4272,CEGR 4278
ETCE 1211,MATH 1103
ETCE 1211,ETCE 1104
ETCE 1211L,MATH 1103
ETCE 2163L,ETGR 2102
ETCE 3131L,ETCE 3131
ETCE 3163L,ETCE 3163
ETCE 3242L,ETCE 3242
ETCE 3271L,ETCE 3271
ETCE 4143L,ETCE 4143
COMM 2145,JOUR 2100
COMM 3245,COMM 2145
COMM 3246,COMM 2146
ITCS 1101,MATH 1100
ITCS 1101,MATH 1101
ITCS 1101,MATH 1103
ITCS 1101,MATH 1120
ITCS 1101,MATH 1241
ITCS 1712,MATH 1120
ITCS 1712,MATH 1241
ITCS 1712,ITCS 1712
ITCS 2231,INFO 2130
ITSC 1213,MATH 1100
ITSC 1213,MATH 1101
ITSC 1213,MATH 1103
ITSC 1213,MATH 1120
ITSC 1213,MATH 1241
CMET 1400,ETCE 1222
CMET 4129L,CMET 4126
DANC 3229,DANC 1217
DANC 3229,DANC 1218
DANC 3229,DANC 1280
DANC 4252,DANC 2125
DANC 4252,DANC 2128
DANC 4252,DANC 2226
ESCI 1101L,ESCI 1101
ESCI 2200,ESCI 1101
ESCI 2200,GEOL 1200
ESCI 2200,GEOL 1200L
EDUC 4201,EDUC 4200
ECGR 2111,MATH 2171
ECGR 2112,ECGR 2254
ECGR 2155,ECGR 2111
ECGR 2156,ECGR 2112
ECGR 2156,ECGR 2181
ECGR 2252,ECGR 2112
ECGR 2252,ECGR 2181
ECGR 3155,ECGR 3111
ECGR 3155,ECGR 3131
ECGR 3156,ECGR 3132
ECGR 3157,ECGR 3111
ECGR 3157,ECGR 3131
ELET 1211,MATH 1103
ELET 2290,ELET 2221
ELET 3113,ETGR 2272
ELET 3113,MATH 1242
ELET 3132L,ELET 3132
ELET 3222L,ELET 3222
ETEL 2161,PHYS 1101
ETEL 2181,ETEL 2101
ETEL 2181,ETEL 2161
ETEL 2281,ETEL 2271
ETEL 3101,ETEL 2161
ETEL 3101,ETME 2102
ETEL 3131,ETEL 2161
ETEL 3131,ETME 2102
ETEL 3181,ETEL 3131
ETEL 3181,ETEL 3171
ETEL 4261,ETEL 3261
ENGR 3790,ECGR 4241
ENGR 3790,ECGR 4251
ENGR 3790,ETGR 4100
ENGR 3790,MEGR 3255
ENGR 3790,MEGR 3275
ENGR 3790,MEGR 3355
ENGR 3790,MEGR 3455
ENGR 3790,SEGR 3290
ENGR 3791,CEGR 3201
ENGR 3791,CMET 4272
ENGR 3791,ECGR 4242
ENGR 3791,ECGR 4252
ENGR 3791,ETCE 4272
ENGR 3791,ETGR 4200
ENGR 3791,MEGR 3256
ENGR 3791,MEGR 3356
ENGR 3791,MEGR 3276
ENGR 3791,MEGR 3456
ENGR 3791,SEGR 3291
ETGR 1101,MATH 1100
ETGR 1101,MATH 1101
ETGR 1201,MATH 1100
ETGR 1201,MATH 1101
ETGR 4100,ETEL 3281
ETGR 4100,ETME 3113
ETGR 4100,ETME 3143
ETGR 4100,ETME 3250
ETGR 4100,ETME 3150
ETGR 4100,ETME 3213
ENGL 4254,MDSK 3100
ENGL 4254,MDSK 3151
ENGL 4254,MDSK 4210
ENGL 4254,MDLG 3130
ENGL 4254,SECD 4140
FILM 3800,FILM 3220
FILM 4220,FILM 3120
FILM 4320,FILM 3120
FINN 3272,ACCT 3311
FINN 3272,ACCT 3323
FINN 4275,FINN 3271
ETFS 3103L,ETFS 3103
FLED 4104,FLED 4200
FLED 4104,FLED 4105
GEOL 1200L,GEOL 1200
GEOL 1210L,GEOL 1210
GEOL 3115,CHEM 1251
GEOL 3115,CHEM 1251L
GEOL 3120L,GEOL 4175
GEOL 3190L,GEOL 3190
GEOL 4105L,GEOL 4105
GERM 4410,GERM 2201
GERM 4410,GERM 2202
GERM 4410,GERM 3201
GERM 4410,GERM 3202
HHUM 3020,HHUM 2100
HHUM 3030,HHUM 2100
HHUM 4800,HHUM 3020
HHUM 4800,HHUM 3030
JAPN 4040,JAPN 3040
JAPN 4040,JAPN 3130
JAPN 4040,JAPN 3140
JAPN 4040,JAPN 3060
JOUR 2160,JOUR 2100
LTAM 3310,SPAN 3201
LTAM 3310,SPAN 3202
LTAM 3310,SPAN 3203
LTAM 4309,SPAN 3208
INFO 2231,INFO 2130
INFO 3229,INFO 3130
INFO 3233,INFO 3130
INFO 3234,INFO 3233
INFO 3238,INFO 3130
INFO 3240,INFO 3234
MATH 2167,MATH 2164
MEGR 1100,ENGR 1201
MEGR 3116,MEGR 3114
MEGR 3244,MEGR 3121
MEGR 3255,MEGR 3152
MEGR 3255,MEGR 3251
MEGR 3260,MEGR 3116
MEGR 3261,MEGR 3112
MEGR 3262,MEGR 3116
MEGR 3275,MEGR 3152
MEGR 3275,MEGR 3251
MEGR 3285,MEGR 3152
MEGR 3285,MEGR 3251
MEGR 3355,MEGR 3152
MEGR 3355,MEGR 3251
MEGR 3455,MEGR 3152
MEGR 3455,MEGR 3251
MEGR 4244,MEGR 3121
MEGR 4291,MEGR 3152
ETME 3100,ETME 3133
ETME 3113,ETGR 2272
ETME 3113,MATH 1242
ETME 3123L,ETME 3123
ETME 3133,MATH 1121
ETME 3133,MATH 1241
ETME 3143,ETGR 2272
ETME 3143,MATH 1242
ETME 3250,ETGR 2272
ETME 3250,MATH 1242
ETME 4250L,ETME 3250
METR 3210,MATH 1242
METR 3252,METR 3245
METR 3340,METR 3245
METR 4350,METR 3250
MDSK 4101,FLED 4105
MDSK 4101,MDSK 4251
MDSK 4102,MAED 4252
MDSK 4102,FLED 4105
MDSK 4103,FLED 4105
MDSK 4103,MDSK 4253
MUPF 4461,MUPF 3261
NURS 2200,BIOL 2273
NURS 2200,BIOL 2273L
NURS 2200,EXER 2168
NURS 2200,EXER 2168L
NURS 3108,NURS 3105
NURS 3108,NURS 3107
NURS 3430,NURS 3230
PHYS 1100L,PHYS 1100
PHYS 1101,MATH 1100
PHYS 1101,MATH 1101
PHYS 1101,MATH 1103
PHYS 1101,MATH 1120
PHYS 1101,MATH 1121
PHYS 1101,MATH 1241
PHYS 1101L,PHYS 1101
PHYS 1102L,PHYS 1102
PHYS 1130L,PHYS 1130
PHYS 2101L,PHYS 2101
PHYS 2102L,PHYS 2102
PHYS 3102,MATH 2171
PHYS 3102,MATH 2241
PHYS 3102,PHYS 3101
PHYS 3121,MATH 2241
PHYS 3141,MATH 1242
