Course ID,Required Course
CHNS 3203,CHNS 3201
ACCT 2121,MATH 1120
ACCT 2121,MATH 1241
ACCT 2121,MATH 1242
ACCT 2121,STAT 1220
ACCT 2121,STAT 1221
ACCT 2121,STAT 1222
ACCT 2121,STAT 2122
ACCT 2122,ACCT 2121
ACCT 3311,ACCT 2121
ACCT 3311,ACCT 2122
ACCT 3311,ECON 2101
ACCT 3311,ECON 2102
ACCT 3311,INFO 2130
ACCT 3311,MATH 1120
ACCT 3311,STAT 1220
ACCT 3312,ACCT 3311
ACCT 3323,ACCT 2121
ACCT 3324,ACCT 3323
ACCT 3325,ACCT 3324
ACCT 3330,ACCT 2122
ACCT 3330,ACCT 3323
ACCT 3340,ACCT 2121
ACCT 3340,ACCT 2122
ACCT 3340,ACCT 3323
ACCT 3340,ECON 2101
ACCT 3340,ECON 2102
ACCT 3340,INFO 2130
ACCT 3340,MATH 1120
ACCT 3340,STAT 1220
ACCT 3350,ACCT 3312
ACCT 3350,ACCT 3324
ACCT 3350,ACCT 3340
ACCT 3380,ACCT 3311
ACCT 4220,ACCT 3311
ACCT 4220,ACCT 3324
AERO 1102,AERO 1101
AERO 2101,AERO 1102
AERO 2102,AERO 2101
AERO 3101,AERO 2102
AERO 3102,AERO 3101
AERO 4101,AERO 3102
AERO 4102,AERO 4101
AFRS 2112,AFRS 2111
AFRS 2161,AFRS 1100
AFRS 2161,AFRS 2160
AFRS 2301,WRDS 1103
AFRS 2301,WRDS 1104
AFRS 3121,ARTH 1211
AFRS 3121,ARTH 1212
AFRS 4401,AFRS 1100
AFRS 4790,AFRS 3290
AFRS 4790,AFRS 4100
ANTH 2142,ANTH 2141
ANTH 2143,ANTH 2141
ANTH 2144,ANTH 2141
ANTH 3020,ANTH 1501
ANTH 3040,ANTH 2141
ANTH 3050,ANTH 2151
ANTH 3090,ANTH 1501
ANTH 3113,ANTH 1501
ANTH 3113,ECON 1101
ANTH 3113,ECON 2102
ANTH 3124,ANTH 1501
ANTH 3126,ANTH 1501
ANTH 3141,ANTH 2141
ANTH 3143,ANTH 2141
ANTH 3144,ANTH 2141
ANTH 3145,ANTH 2141
ANTH 3152,ANTH 1501
ANTH 3152,ANTH 2151
ANTH 3153,ANTH 2151
ANTH 3154,ANTH 1501
ANTH 3154,ANTH 2151
ANTH 3601,ANTH 1501
ANTH 3601,ANTH 2121
ANTH 3601,ANTH 2161
